Date,Value
4/1/1996,6.52
5/1/1996,6.74
6/1/1996,6.91
7/1/1996,6.87
8/1/1996,6.64
9/1/1996,6.83
10/1/1996,6.53
11/1/1996,6.19
12/1/1996,6.3
1/1/1997,6.58
2/1/1997,6.42
3/1/1997,6.69
4/1/1997,6.88
5/1/1997,6.71
6/1/1997,6.49
7/1/1997,6.21
8/1/1997,6.3
9/1/1997,6.21
10/1/1997,6.03
11/1/1997,5.88
12/1/1997,5.81
1/1/1998,5.54
2/1/1998,5.57
3/1/1998,5.65
4/1/1998,5.64
5/1/1998,5.65
6/1/1998,5.49
7/1/1998,5.46
8/1/1998,5.34
9/1/1998,4.8
10/1/1998,4.54
11/1/1998,4.83
12/1/1998,4.64
1/1/1999,4.72
2/1/1999,5.01
3/1/1999,5.23
4/1/1999,5.18
5/1/1999,5.54
6/1/1999,5.91
7/1/1999,5.79
8/1/1999,5.94
9/1/1999,5.91
10/1/1999,6.12
11/1/1999,6.03
12/1/1999,6.28
1/1/2000,6.66
2/1/2000,6.51
3/1/2000,6.25
4/1/2000,5.99
5/1/2000,6.45
6/1/2000,6.09
7/1/2000,6.05
8/1/2000,5.82
9/1/2000,5.81
10/1/2000,5.74
11/1/2000,5.72
12/1/2000,5.23
1/1/2001,5.16
2/1/2001,5.1
3/1/2001,4.89
4/1/2001,5.14
5/1/2001,5.4
6/1/2001,5.28
7/1/2001,5.24
8/1/2001,4.97
9/1/2001,4.73
10/1/2001,4.57
11/1/2001,4.67
12/1/2001,5.09
1/1/2002,5.04
2/1/2002,4.91
3/1/2002,5.3
4/1/2002,5.2
5/1/2002,5.17
6/1/2002,4.93
7/1/2002,4.64
8/1/2002,4.25
9/1/2002,3.87
10/1/2002,3.95
11/1/2002,4.05
12/1/2002,4.03
1/1/2003,4.05
2/1/2003,3.9
3/1/2003,3.81
4/1/2003,3.96
5/1/2003,3.55
6/1/2003,3.33
7/1/2003,3.99
8/1/2003,4.45
9/1/2003,4.27
10/1/2003,4.31
11/1/2003,4.3
12/1/2003,4.26
1/1/2004,4.15
2/1/2004,4.08
3/1/2004,3.82
4/1/2004,4.37
5/1/2004,4.72
6/1/2004,4.73
7/1/2004,4.49
8/1/2004,4.28
9/1/2004,4.13
10/1/2004,4.09
11/1/2004,4.2
12/1/2004,4.22
1/1/2005,4.22
2/1/2005,4.17
3/1/2005,4.5
4/1/2005,4.34
5/1/2005,4.14
6/1/2005,4
7/1/2005,4.18
8/1/2005,4.26
9/1/2005,4.21
10/1/2005,4.46
11/1/2005,4.53
12/1/2005,4.46
1/1/2006,4.42
2/1/2006,4.57
3/1/2006,4.73
4/1/2006,4.99
5/1/2006,5.11
6/1/2006,5.11
7/1/2006,5.09
8/1/2006,4.87
9/1/2006,4.72
10/1/2006,4.73
11/1/2006,4.6
12/1/2006,4.57
1/1/2007,4.76
2/1/2007,4.72
3/1/2007,4.56
4/1/2007,4.69
5/1/2007,4.75
6/1/2007,5.11
7/1/2007,5
8/1/2007,4.67
9/1/2007,4.52
10/1/2007,4.53
11/1/2007,4.14
12/1/2007,4.1
1/1/2008,3.74
2/1/2008,3.74
3/1/2008,3.51
4/1/2008,3.68
5/1/2008,3.88
6/1/2008,4.1
7/1/2008,4.01
8/1/2008,3.88
9/1/2008,3.69
10/1/2008,3.82
11/1/2008,3.53
12/1/2008,2.4
1/1/2009,2.52
2/1/2009,2.87
3/1/2009,2.82
4/1/2009,2.94
5/1/2009,3.3
6/1/2009,3.72
7/1/2009,3.56
8/1/2009,3.59
9/1/2009,3.4
10/1/2009,3.4
11/1/2009,3.4
12/1/2009,3.6
1/1/2010,3.73
2/1/2010,3.69
3/1/2010,3.73
4/1/2010,3.85
5/1/2010,3.42
6/1/2010,3.2
7/1/2010,3.01
8/1/2010,2.7
9/1/2010,2.65
10/1/2010,2.54
11/1/2010,2.77
12/1/2010,3.31
1/1/2011,3.39
2/1/2011,3.58
3/1/2011,3.41
4/1/2011,3.45
5/1/2011,3.17
6/1/2011,3
7/1/2011,2.99
8/1/2011,2.28
9/1/2011,1.97
10/1/2011,2.15
11/1/2011,2.01
12/1/2011,1.97
1/1/2012,1.97
2/1/2012,1.97
3/1/2012,2.18
4/1/2012,2.05
5/1/2012,1.8
6/1/2012,1.63
7/1/2012,1.53
8/1/2012,1.68
9/1/2012,1.72
10/1/2012,1.75
11/1/2012,1.65
12/1/2012,1.72
1/1/2013,1.91
2/1/2013,1.98
3/1/2013,1.96
4/1/2013,1.75
5/1/2013,1.94
6/1/2013,2.3
7/1/2013,2.59
8/1/2013,2.74
9/1/2013,2.81
10/1/2013,2.61
11/1/2013,2.72
12/1/2013,2.9
1/1/2014,2.86
2/1/2014,2.71
3/1/2014,2.72
4/1/2014,2.7
5/1/2014,2.56
6/1/2014,2.6
7/1/2014,2.55
8/1/2014,2.42
9/1/2014,2.53
10/1/2014,2.3
11/1/2014,2.33
12/1/2014,2.21
1/1/2015,1.88
2/1/2015,1.97
